Tc_solute,Pc_solute,Vc_solute,omega_solute,dipole_solute,MW_solute,Tc_solvent,Pc_solvent,Vc_solvent,omega_solvent,dipole_solvent,MW_solvent,T_K,ln_IDAC_exp
588,5210000,0.000238,0.288,0,88.10512,540.5,5190000,0.000224,0.217,1.63,72.10572,298.2,0.122217633
588,5210000,0.000238,0.288,0,88.10512,591.75,4126300,0.000315557,0.2657,0.33,92.13842,298.2,0.139761942
588,5210000,0.000238,0.288,0,88.10512,716.7,1523000,0.000927,0.83474986,0,266.314142,318.2,-0.15082289
588,5210000,0.000238,0.288,0,88.10512,716.7,1523000,0.000927,0.83474986,0,266.314142,333.2,-0.248461359
588,5210000,0.000238,0.288,0,88.10512,716.7,1523000,0.000927,0.83474986,0,266.314142,363.2,-0.597837001
588,5210000,0.000238,0.288,0,88.10512,716.7,1523000,0.000927,0.83474986,0,266.314142,373.2,-0.579818495
588,5210000,0.000238,0.288,0,88.10512,535.6,3030000,0.000389,0.329,0.9,101.19,298.2,0.916290732
563,4414000,0.000274,0.59,1.66,74.1216,652.5,2777000,0.000497,0.5963,1.649998201,130.22792,298.2,0.104360015
563,4414000,0.000274,0.59,1.66,74.1216,536.8,5169000,0.000218,0.624,1.55,60.09502,313.2,0.039220713
563,4414000,0.000274,0.59,1.66,74.1216,536.8,5169000,0.000218,0.624,1.55,60.09502,333.2,0.019802627
563,4414000,0.000274,0.59,1.66,74.1216,536.8,5169000,0.000218,0.624,1.55,60.09502,353.2,0.019802627
563,4414000,0.000274,0.59,1.66,74.1216,624,3850000,0.000357,0.3559,1.7,107.15306,313.2,-0.356674944
563,4414000,0.000274,0.59,1.66,74.1216,547.8,4295000,0.000274,0.588,1.64,74.1216,313.2,0.039220713
563,4414000,0.000274,0.59,1.66,74.1216,506.2,3972000,0.000275,0.618,1.74,74.1216,313.2,-0.223143551
563,4414000,0.000274,0.59,1.66,74.1216,545.5,4850000,0.000171,0.321,3.92,41.05192,333.2,1.187843422
563,4414000,0.000274,0.59,1.66,74.1216,630,2887763,0.0004845,0.3228,0,136.23404,353.2,1.985130862
